timestamp, aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], socd[59], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], assign4-therm[80], vbat[81], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86],101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),110 (C),111 (C),112 (C),117 (C),119 (C),avg,min,max
11:55:07.158840,  7.800, 8.200, 8.200, 7.500, 8.500, 9.200, 9.900, 7.800, 7.800, 7.800, 7.500, 7.800, 8.200, 8.200, 8.200, 8.800, 8.500, 7.800, 8.200, 7.800, 7.800, 8.500, 8.200, 8.500, 7.100, 8.200, 8.200, 8.200, 7.500, 7.800, 7.800, 7.800, 2.747, 37.000, 4.744, 0.078, 0.156, 0.023, 2.281, 37.000, 37.000, 4.154, 3.174, 3.864, 3.840, 3.912, 3.773, 0.818, 4.142, 0.902, 5.322, 4.996, 27.000, 27.000, 4.073, 4.135, 3.000,  0.000, 0.000, 0.000, 0.000, 0.000,-2.23232,-2.118284,-2.208656,-2.236537,-2.240416,-2.196036,-1.927,-2.078688,-3.289476,-1.966352,-2.211474,-2.159305,-2.078027,-2.226000, -3.289000, -1.927000
11:55:12.101455,  7.500, 7.800, 7.800, 7.800, 8.200, 9.500, 9.900, 7.100, 7.500, 7.500, 7.500, 7.800, 8.200, 7.800, 7.800, 8.500, 7.800, 7.500, 8.200, 7.800, 7.100, 8.500, 7.800, 8.200, 6.800, 7.800, 7.800, 8.200, 7.500, 7.500, 7.500, 7.800, 2.714, 37.000, 4.478, 0.078, 0.156, 0.023, 2.181, 37.000, 37.000, 4.026, 3.084, 3.767, 3.755, 3.815, 3.681, 0.767, 4.062, 0.876, 5.102, 4.996, 27.000, 27.000, 3.985, 4.135, 3.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.857205,-1.765488,-1.809872,-1.846083,-1.9207,-1.912176,-1.65,-1.742699,-3.167144,-1.664784,-1.866903,-1.769265,-1.680827,-1.896000, -3.167000, -1.650000
11:55:17.107827,  7.800, 7.500, 7.500, 7.100, 8.200, 8.800, 9.200, 7.800, 7.100, 7.800, 6.800, 7.800, 7.800, 7.500, 7.500, 8.500, 7.800, 7.800, 7.800, 7.500, 7.100, 8.500, 7.800, 8.200, 6.800, 7.800, 7.500, 7.800, 7.800, 7.800, 7.500, 7.500, 2.581, 37.000, 4.478, 0.078, 0.156, 0.023, 2.148, 37.000, 37.000, 3.912, 2.999, 3.669, 3.663, 3.724, 3.576, 0.721, 3.972, 0.844, 5.001, 4.930, 27.000, 27.000, 3.891, 4.135, 3.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.568655,-1.557378,-1.601552,-1.560675,-1.667716,-1.640268,-1.373,-1.430638,-2.925564,-1.286832,-1.63752,-1.442905,-1.414703,-1.624000, -2.926000, -1.287000
11:55:22.136916,  7.800, 7.800, 7.800, 7.100, 8.500, 9.200, 9.900, 7.500, 7.500, 7.800, 7.500, 7.500, 8.200, 7.800, 8.200, 8.800, 7.500, 7.500, 8.200, 7.800, 7.500, 8.200, 7.800, 8.200, 6.800, 7.800, 7.500, 8.200, 7.800, 7.800, 7.500, 7.500, 2.447, 37.000, 4.512, 0.156, 0.312, 0.023, 2.015, 37.000, 37.000, 3.852, 2.938, 3.589, 3.583, 3.638, 3.471, 0.682, 3.870, 0.818, 4.925, 4.854, 27.000, 27.000, 3.807, 4.135, 3.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.735815,-1.971616,-1.8436,-2.014553,-1.9954,-2.187072,-1.795,-1.857354,-2.815568,-1.825488,-1.962231,-2.06279,-2.352095,-2.032000, -2.816000, -1.736000
11:55:27.009804,  7.800, 7.800, 7.500, 7.100, 7.800, 8.800, 9.200, 7.500, 7.500, 7.800, 6.800, 7.500, 8.200, 7.500, 7.800, 8.500, 7.800, 7.500, 7.500, 7.500, 7.100, 8.200, 7.800, 7.800, 6.800, 7.500, 7.500, 7.800, 7.800, 7.800, 7.500, 7.500, 2.381, 37.000, 4.445, 0.078, 0.078, 0.023, 1.948, 37.000, 37.000, 3.742, 2.864, 3.496, 3.489, 3.558, 3.371, 0.643, 3.791, 0.767, 4.854, 4.854, 27.000, 27.000, 3.807, 4.135, 3.000,  0.000, 0.000, 0.000, 0.000, 0.000,-2.239285,-2.327385,-2.27512,-2.265276,-2.409736,-2.415156,-2.111,-2.248178,-3.062288,-2.095312,-2.259138,-2.31751,-2.230949,-2.327000, -3.062000, -2.095000
11:55:32.138823,  7.800, 7.500, 7.800, 7.500, 8.200, 9.200, 9.500, 7.100, 7.800, 7.500, 7.100, 7.500, 7.800, 7.100, 7.800, 8.200, 7.800, 7.500, 7.800, 7.500, 7.100, 8.200, 7.800, 7.800, 6.800, 7.500, 7.800, 8.200, 7.500, 7.800, 7.500, 7.500, 2.447, 37.000, 4.311, 0.078, 0.078, 0.023, 1.915, 37.000, 37.000, 3.730, 2.790, 3.458, 3.421, 3.483, 3.289, 0.623, 3.755, 0.715, 4.767, 4.689, 27.000, 27.000, 3.723, 4.135, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.968645,-2.014229,-1.923952,-1.950138,-2.006356,-2.141256,-1.907,-1.934123,-3.090044,-1.74712,-1.946343,-1.900605,-1.779134,-2.024000, -3.090000, -1.747000
11:55:37.105646,  7.500, 7.500, 7.800, 7.500, 7.800, 8.800, 9.200, 7.500, 7.100, 7.100, 7.100, 7.500, 8.200, 7.500, 7.500, 8.500, 7.500, 7.100, 7.800, 7.500, 7.100, 8.200, 7.800, 7.800, 6.500, 7.500, 7.500, 7.800, 7.100, 7.500, 7.100, 7.100, 2.315, 37.000, 4.412, 0.078, 0.078, 0.023, 1.749, 37.000, 37.000, 3.626, 2.721, 3.371, 3.345, 3.408, 3.181, 0.571, 3.657, 0.695, 4.767, 4.585, 27.000, 27.000, 3.616, 4.135, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.674125,-1.736749,-1.638256,-1.616171,-1.670704,-1.76178,-1.559,-1.622062,-2.969768,-1.417776,-1.676247,-1.576235,-1.507052,-1.725000, -2.970000, -1.418000
11:55:42.137577,  7.500, 7.100, 7.500, 7.100, 7.800, 8.500, 9.200, 7.100, 7.100, 7.500, 7.100, 7.500, 7.500, 7.100, 7.500, 8.200, 7.500, 6.800, 7.800, 7.100, 7.100, 7.800, 7.500, 7.800, 6.100, 7.500, 7.500, 7.800, 7.100, 7.500, 7.100, 7.500, 2.281, 37.000, 4.079, 0.078, 0.078, 0.023, 1.649, 37.000, 37.000, 3.533, 2.652, 3.289, 3.270, 3.339, 3.097, 0.551, 3.576, 0.676, 4.663, 4.533, 27.000, 27.000, 3.530, 4.135, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.44627,-1.394854,-1.430928,-1.434818,-1.461544,-1.501824,-1.284,-1.363839,-2.796036,-1.188624,-1.432962,-1.28669,-1.230998,-1.481000, -2.796000, -1.189000
11:55:47.105914,  7.100, 6.800, 7.100, 7.100, 7.800, 8.500, 9.500, 7.500, 7.100, 7.500, 7.100, 7.500, 7.800, 7.500, 7.500, 8.200, 7.800, 7.100, 7.500, 7.800, 6.800, 8.200, 7.500, 7.800, 6.800, 7.500, 7.100, 7.500, 7.100, 7.500, 6.800, 7.100, 2.148, 37.000, 3.979, 0.156, 0.156, 0.023, 1.615, 37.000, 37.000, 3.464, 2.602, 3.212, 3.193, 3.263, 3.011, 0.518, 3.502, 0.669, 4.596, 4.459, 27.000, 27.000, 3.467, 4.135, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.96367,-2.178735,-2.0668,-2.127527,-2.09002,-2.423124,-2.094,-2.115577,-2.79912,-1.885008,-2.05458,-2.00906,-2.146544,-2.150000, -2.799000, -1.885000
11:55:52.130696,  7.100, 7.100, 7.500, 7.100, 7.500, 8.500, 8.800, 6.800, 6.800, 7.100, 6.800, 7.100, 7.500, 7.100, 7.500, 7.800, 7.500, 7.100, 7.500, 7.500, 6.800, 7.800, 7.500, 7.800, 6.500, 7.100, 6.800, 7.800, 7.500, 7.500, 6.500, 7.500, 1.982, 37.000, 4.012, 0.078, 0.078, 0.023, 1.715, 37.000, 37.000, 3.389, 2.533, 3.136, 3.117, 3.174, 2.938, 0.498, 3.452, 0.630, 4.538, 4.396, 27.000, 27.000, 3.392, 4.135, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-2.04526,-1.96567,-2.113424,-2.017526,-2.157748,-2.232888,-1.975,-2.063733,-3.011916,-1.886992,-1.976133,-1.94936,-1.89035,-2.099000, -3.012000, -1.887000
